iter	Logloss
496	0.2659096161
497	0.2657545535
498	0.2656823405
499	0.2653011291
500	0.265171126
501	0.2646964753
502	0.2646002215
503	0.2644660991
504	0.2642970624
505	0.2639428214
506	0.2638263922
507	0.2635895258
508	0.263481628
509	0.263413439
510	0.26331578
511	0.2632557691
512	0.2631363225
513	0.2630191832
514	0.2627649577
515	0.2622013993
516	0.262056313
517	0.261664085
518	0.261302312
519	0.2609463683
520	0.2609347988
521	0.2607671696
522	0.260684439
523	0.2600648638
524	0.2598471973
525	0.2597369904
526	0.2594551823
527	0.2590628997
528	0.2589327981
529	0.2588615476
530	0.2587152992
531	0.2584187517
532	0.2583115292
533	0.2580628945
534	0.2579706154
535	0.2578039049
536	0.2577217805
537	0.2576941049
538	0.2575914183
539	0.2574023297
540	0.2572626079
541	0.2570350508
542	0.2566328629
543	0.2563721093
544	0.2560646013
545	0.2559244817
546	0.2557949796
547	0.2556924853
548	0.2556335299
549	0.2555698015
550	0.2554927799
551	0.2554492054
552	0.2553063119
553	0.2548932807
554	0.2548243252
555	0.2543797464
556	0.2543153492
557	0.2541609813
558	0.2540102846
559	0.2539525728
560	0.2538898948
561	0.2537793921
562	0.2536777495
563	0.253538985
564	0.2532436597
565	0.2528800569
566	0.252715996
567	0.2526330712
568	0.2523640663
569	0.2521622402
570	0.2520159462
571	0.2516266098
572	0.2515322334
573	0.2514614869
574	0.2510259672
575	0.250636255
576	0.2504298026
577	0.250375068
578	0.2502445597
579	0.2501116
580	0.2496307344
581	0.2495906263
582	0.2493079079
583	0.2491911857
584	0.249044058
585	0.2487124801
586	0.2486198055
587	0.248191238
588	0.2479668291
589	0.2476076418
590	0.247532592
591	0.2472110446
592	0.2468723848
593	0.2464953328
594	0.2461218915
595	0.2459467157
596	0.2456623895
597	0.2455627812
598	0.2454513427
599	0.2450799538
600	0.2449506598
601	0.2447723646
602	0.2447040128
603	0.2445017521
604	0.2443247466
605	0.2442264758
606	0.2437879379
607	0.2435990231
608	0.2435068684
609	0.2433885845
610	0.2432486855
611	0.2429404087
612	0.2426585244
613	0.242362805
614	0.24206284
615	0.2420197418
616	0.2419196972
617	0.2416324394
618	0.2416055287
619	0.2415354587
620	0.2410848576
621	0.2409399955
622	0.2408256429
623	0.2404224803
624	0.2403210973
625	0.2402262679
626	0.2398133322
627	0.2397496197
628	0.2393973231
629	0.2392674714
630	0.2390090988
631	0.2389079376
632	0.2388494446
633	0.2387291779
634	0.2385793339
635	0.2385321274
636	0.238211477
637	0.2381251302
638	0.2380368777
639	0.2376535682
640	0.2373316274
641	0.237258938
642	0.2370588336
643	0.2367659457
644	0.2366091346
645	0.2364924267
646	0.2364223951
647	0.2363468294
648	0.2362337002
649	0.2359779026
650	0.2358731077
651	0.2356077304
652	0.2354943366
653	0.2351627728
654	0.235079863
655	0.2349088837
656	0.2346106291
657	0.2341246242
658	0.2340646499
659	0.2340029419
660	0.2338811841
661	0.2336895502
662	0.2336563899
663	0.2333014934
664	0.2330762084
665	0.232654665
666	0.2323429082
667	0.2322780242
668	0.2320859656
669	0.2320516476
670	0.2319327377
671	0.2318135815
672	0.2313436632
673	0.2313011439
674	0.2312629755
675	0.2309912395
676	0.230798583
677	0.2304280107
678	0.2302633978
679	0.2299863608
680	0.2297832356
681	0.229748169
682	0.229542375
683	0.2295082622
684	0.2293736344
685	0.2291727185
686	0.2291459873
687	0.2288627741
688	0.2285637764
689	0.2282725407
690	0.2281389847
691	0.2278064194
692	0.2276279326
693	0.2273709171
694	0.2270118547
695	0.2268014323
696	0.2264195516
697	0.2261341917
698	0.2258639218
699	0.2255032901
700	0.225221752
701	0.2249188044
702	0.2246921404
703	0.2245895889
704	0.2243236797
705	0.2240499524
706	0.2237417877
707	0.2234581362
708	0.2233709917
709	0.2232744444
710	0.2231620623
711	0.2228144127
712	0.2226465289
713	0.2226084967
714	0.2223470764
715	0.222306476
716	0.2220873965
717	0.2218535724
718	0.2217177938
719	0.2214360553
720	0.2212458297
721	0.2209411663
722	0.2207541049
723	0.2206560671
724	0.220603633
725	0.2205388419
726	0.2203613896
727	0.2201386346
728	0.2200196053
729	0.2199815072
730	0.2199171855
731	0.2198796584
732	0.2196238124
733	0.2192804397
734	0.2190594972
735	0.2187928497
736	0.218450455
737	0.2184375128
738	0.2181556399
739	0.2181259376
740	0.2177976612
741	0.2177015285
742	0.2175264151
743	0.2174771679
744	0.2172361956
745	0.2171461112
746	0.2170082414
747	0.21667705
748	0.2164075181
749	0.2163826385
750	0.2162589681
751	0.2162287599
752	0.2161054751
753	0.2158803058
754	0.2157862663
755	0.2157317721
756	0.2155258003
757	0.2152525936
758	0.2152264655
759	0.2151350233
760	0.2149521678
761	0.2147261221
762	0.2146160669
763	0.2145004907
764	0.2143649728
765	0.2140604611
766	0.2139248773
767	0.2137568718
768	0.213524399
769	0.2134443063
770	0.2132585795
771	0.2130966741
772	0.213038269
773	0.2129524935
774	0.2125642117
775	0.2125032409
776	0.2124308573
777	0.2121949171
778	0.2119654696
779	0.2117294292
780	0.2117049058
781	0.2116720496
782	0.2115852814
783	0.2115731063
784	0.2113425966
785	0.2111318538
786	0.2111140232
787	0.2110748462
788	0.2108987409
789	0.2106444679
790	0.2105329384
791	0.2102938054
792	0.210084096
793	0.2097938767
794	0.2095468048
795	0.2092593526
796	0.2092390129
797	0.209178632
798	0.2089311131
799	0.20872251
800	0.2086681163
801	0.2085883136
802	0.2083839069
803	0.2082620947
804	0.2081508042
805	0.2079217353
806	0.2077290787
807	0.2075085648
808	0.2074904582
809	0.2072426958
810	0.20718589
811	0.2070071045
812	0.2067977367
813	0.2065808667
814	0.2064724963
815	0.2064142075
816	0.2061740655
817	0.2059813563
818	0.2056449116
819	0.2054688132
820	0.2051125917
821	0.20509094
822	0.2048756425
823	0.20477979
824	0.2047490055
825	0.2047276125
826	0.2045524716
827	0.2043426098
828	0.2042878412
829	0.2040479357
830	0.2039847306
831	0.2039640407
832	0.203802785
833	0.2037845986
834	0.2037107083
835	0.2036291281
836	0.203617076
837	0.2034652015
838	0.2032407521
839	0.2030240801
840	0.2026794647
841	0.2025750324
842	0.2023541044
843	0.2022379301
844	0.2020372636
845	0.2018423193
846	0.2017549543
847	0.2016538652
848	0.2015563919
849	0.2013102482
850	0.2009561986
851	0.2007619075
852	0.2006639828
853	0.2004239129
854	0.2001953743
855	0.199986362
856	0.1997634714
857	0.1996555385
858	0.1994254646
859	0.1990990379
860	0.1988948571
861	0.1988878121
862	0.1987923189
863	0.1985616687
864	0.1984376241
865	0.1982215163
866	0.1982049273
867	0.1981250181
868	0.1979295899
869	0.1978350367
870	0.1977616663
871	0.1976848659
872	0.1975927211
873	0.1975432778
874	0.1973822291
875	0.1971917042
876	0.1968984524
877	0.1967547684
878	0.1964770702
879	0.1962379208
880	0.1961968982
881	0.1960510752
882	0.1960338866
883	0.1958356736
884	0.1956981494
885	0.1955932889
886	0.1955764495
887	0.1953917721
888	0.1951448076
889	0.1949664832
890	0.1949403253
891	0.1948253603
892	0.1946147367
893	0.1945291198
894	0.1941734501
895	0.1939827437
896	0.1939679468
897	0.1939436258
898	0.1938374542
899	0.1937797378
900	0.1936356561
901	0.1935673868
902	0.1935250514
903	0.1935134976
904	0.1934884285
905	0.1934356944
906	0.1933835152
907	0.1931957953
908	0.1930783594
909	0.1928995476
910	0.1926429524
911	0.1926033314
912	0.19247911
913	0.1923867487
914	0.1923629655
915	0.1921721866
916	0.1919960883
917	0.1919064104
918	0.1916461749
919	0.1914233755
920	0.1912448682
921	0.1910668877
922	0.1909557688
923	0.1907768257
924	0.1906010342
925	0.1905214655
926	0.1904981969
927	0.1901999957
928	0.1901096909
929	0.1899487783
930	0.1898581428
931	0.189693613
932	0.1895594281
933	0.1893423266
934	0.1893210074
935	0.1893047782
936	0.1892184354
937	0.1891127166
938	0.1890961092
939	0.1888252674
940	0.1887180671
941	0.1886531507
942	0.1884039338
943	0.1883064677
944	0.1880731028
945	0.1878706122
946	0.1876870674
947	0.1876677278
948	0.1874801209
949	0.1874120263
950	0.1873452516
951	0.1871558128
952	0.1869799643
953	0.186653299
954	0.1865916813
955	0.1865286327
956	0.1864291696
957	0.1862698205
958	0.1860131768
959	0.1858351247
960	0.1856949197
961	0.1855670035
962	0.1853820865
963	0.1852512875
964	0.185067088
965	0.1850480931
966	0.1849914815
967	0.1848171482
968	0.1846337546
969	0.1846246676
970	0.1845641495
971	0.1845378576
972	0.1844280494
973	0.1843002465
974	0.1842159687
975	0.1841474183
976	0.1838696728
977	0.1837022953
978	0.183622421
979	0.1834860573
980	0.1832158
981	0.1830533559
982	0.1828699731
983	0.182701276
984	0.1824925428
985	0.1823097731
986	0.1822256129
987	0.1820536756
988	0.1819973604
989	0.1818221011
990	0.1817434346
991	0.1817191276
992	0.1816334432
993	0.1815813603
994	0.1814997759
995	0.181384536
996	0.1812407167
997	0.1811825362
998	0.1810434483
999	0.1809946615
